aaa,9974212,9625,114,270
aab,9852608,8268,5,49
aac,9905135,8605,52,168
aad,9599184,8540,169,321
aae,9723339,9204,5,60
aaf,9668110,10042,162,396
aag,9933575,8307,156,413
aba,9923215,7989,5,52
abb,9967634,9524,183,360
abc,9801477,9991,232,445
abd,9906426,7935,5,16
abe,9914627,7896,93,177
abf,9923836,11198,270,579
abg,9897973,7749,195,291
aca,9872736,8770,34,148
acb,9690750,8878,187,425
acc,9930024,7716,41,215
acd,9478968,7604,5,32
ace,9898314,8186,20,85
acf,9901277,8320,299,630
acg,9627946,8719,119,242
ada,9972884,9687,55,226
adb,9975377,7953,251,523
adc,9955680,10748,43,95
add,9891601,10989,58,198
ade,9947349,7654,36,114
adf,9795300,9345,44,151
adg,9993976,7834,114,274
aea,9550557,8608,8,101
aeb,9929851,8957,97,242
aec,9917488,8608,83,257
aed,9861270,7871,322,535
aee,9787910,8489,5,109
aef,9960771,7458,162,241
aeg,9647231,9828,88,200
afa,9957439,7660,120,304
afb,9971028,8643,317,800
afc,9977547,8737,5,53
afd,9787954,9475,12,72
afe,9976070,8774,106,173
aff,9916170,8749,5,50
afg,9653834,9815,5,68
aga,9964621,9177,159,432
agb,9393703,8821,143,273
agc,9982996,8400,137,220
agd,9853391,9694,84,201
age,9987091,11343,145,271
agf,9994075,9216,5,51
agg,9779957,9090,5,9
baa,9955812,9252,69,138
bab,9707520,7873,215,374
bac,9759379,8400,24,114
bad,9988623,7220,260,433
bae,9753720,7241,297,416
baf,9894653,10204,177,365
bag,9895600,8978,201,337
bba,9929169,10619,68,213
bbb,9909779,9138,117,259
bbc,9988862,9771,14,119
bbd,9971869,7431,86,244
bbe,9917451,9484,47,119
bbf,9722461,8875,105,165
bbg,9951692,9449,157,357
bca,9976830,11385,113,165
bcb,9897447,8027,215,374
bcc,9611094,9939,245,427
bcd,9666244,8346,144,282
bce,9809607,11058,5,22
bcf,9977207,10705,68,290
bcg,9918101,7619,64,125
bda,9955272,8466,146,245
bdb,9917420,8089,95,231
bdc,9737922,7423,144,222
bdd,9948931,10057,75,276
bde,9951485,7343,7,87
bdf,9999720,8728,356,535
bdg,9944447,8195,92,193
bea,9928961,8920,118,231
beb,9930355,7584,151,245
bec,9363772,9454,248,469
bed,9969188,8498,5,16
bee,9597553,9099,40,132
bef,9988859,7210,117,215
beg,9706976,10514,67,185
bfa,9969735,8878,273,543
bfb,9612548,6865,78,133
bfc,9979701,8955,188,377
bfd,9857299,9483,14,65
bfe,9659570,9260,5,48
bff,9953838,8985,58,111
bfg,9973578,9363,120,249
bga,9980706,6927,45,116
bgb,9724026,9404,81,189
bgc,9735958,9333,54,251
bgd,9985905,9857,10,107
bge,9938059,7547,5,57
bgf,9865256,9336,5,6
bgg,9909520,9738,5,46
caa,9771378,9407,189,395
cab,9859472,10849,5,34
cac,9847417,8940,189,412
cad,9751870,8833,372,632
cae,9944591,9192,5,9
caf,9939233,8124,95,237
cag,9867587,9579,5,36
cba,9954595,7645,127,268
cbb,9972417,7990,98,282
cbc,9806046,9942,38,176
cbd,9910213,9796,77,162
cbe,9814636,8453,15,80
cbf,9993066,8460,42,100
cbg,9838034,9054,123,393
cca,9959892,10158,44,121
ccb,9752032,8459,5,32
ccc,9962640,7214,5,48
ccd,9966437,8116,96,211
cce,9846145,8304,32,159
ccf,9924947,7832,190,300
ccg,9848440,8676,64,213
cda,9967966,8291,141,297
cdb,9685581,9377,65,135
cdc,9999233,10821,95,171
cdd,9998587,9508,13,65
cde,9824127,9308,270,468
cdf,9965071,8455,62,157
cdg,9975702,9304,59,213
cea,9608063,9011,25,114
ceb,9922148,10964,46,182
cec,9867482,10794,382,592
ced,9940098,9556,63,137
cee,9535008,6963,414,903
cef,9983704,7281,57,201
